"veiculo" "preco" "comprimento" "moto" "N_I"
"1" "Asia Towner" 9440 3,36 40 "I"
"2" "Audi A3" 38850 4,15 125 "I"
"3" "Chevrolet Astra" 10532 4,11 110 "N"
"4" "Chevrolet Blazer" 16346 4,6 106 "N"
"5" "Chevrolet Corsa" 6176 3,73 60 "N"
"6" "Chevrolet Tigra" 12890 3,92 100 "I"
"7" "Chevrolet Vectra" 13140 4,47 110 "N"
"8" "Chrysler Neon" 31640 4,36 115 "I"
"9" "Dodge Dakota" 11630 4,98 121 "N"
"10" "Fiat Fiorino" 6700 4,16 76 "N"
"11" "Fiat Marea" 12923 4,39 127 "N"
"12" "Fiat Mille" 5257 3,64 57 "N"
"13" "Fiat Palio" 6260 3,73 61 "N"
"14" "Fiat Siena" 7780 4,1 61 "I"
"15" "Ford Escort" 10767 4,2 115 "I"
"16" "Ford Fiesta" 6316 3,83 52 "N"
"17" "Ford Ka" 5680 3,62 54 "N"
"18" "Ford Mondeo" 33718 4,56 130 "I"
"19" "Honda Civic" 14460 4,45 106 "N"
"20" "Hyundai Accent" 21500 4,12 91 "I"
"21" "Peugeot 106" 13840 3,68 50 "I"
"22" "Renault Clio" 13700 3,7 74 "I"
"23" "Toyota Corolla" 15520 4,39 116 "N"
"24" "Toyota Perua" 24632 4,4 96 "N"
"25" "VW Gol" 6340 3,81 54 "N"
"26" "VW Golf" 22200 4,15 100 "I"
"27" "VW Parati" 9300 4,08 69 "N"
"28" "VW Polo" 12018 4,14 99 "I"
"29" "VW Santana" 11386 4,57 101 "N"
"30" "VW Saveiro" 7742 4,38 88 "N"
